name,kind,city,region,country,date_granted,grant,address,lat,lon,wikipedia_url,image_source,image_title,image_url,photographer,licence,licence_url,credit_page,postable
Cambridge,public,Cambridge,Waikato,New Zealand,14 Dec 1908,"$4,870",,,,,wikipedia-list,"File:Carnegie_Library_Cambridge,_1911.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Carnegie_Library_Cambridge%2C_1911.jpg/1920px-Carnegie_Library_Cambridge%2C_1911.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Frederick George Radcliffe,Public domain,,"https://commons.wikimedia.org/wiki/File:Carnegie_Library_Cambridge,_1911.jpg",yes
Dannevirke,public,Dannevirke,Manawatū-Whanganui,New Zealand,10 Apr 1906,"$9,690",,,,,wikipedia-list,"File:Former_Public_Library,_Dannevirke,_New_Zealand_(72).JPG",https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Former_Public_Library%2C_Dannevirke%2C_New_Zealand_%2872%29.JPG/1920px-Former_Public_Library%2C_Dannevirke%2C_New_Zealand_%2872%29.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Michal Klajban,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Former_Public_Library,_Dannevirke,_New_Zealand_(72).JPG",yes
Dunedin,public,Dunedin,Otago,New Zealand,19 Sep 1902,"$48,700",Moray Place,,,,wikipedia-list,"File:Dunedin_Public_Library_(former),_New_Zealand1.JPG",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Dunedin_Public_Library_%28former%29%2C_New_Zealand1.JPG/1920px-Dunedin_Public_Library_%28former%29%2C_New_Zealand1.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Benchill,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"https://commons.wikimedia.org/wiki/File:Dunedin_Public_Library_(former),_New_Zealand1.JPG",yes
Fairlie,public,Fairlie,Canterbury,New Zealand,31 Jan 1913,"$4,875",6 Allandale Road,,,,wikipedia-list,"File:Carnegie_Library,_Fairlie_241.JPG",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Carnegie_Library%2C_Fairlie_241.JPG/1920px-Carnegie_Library%2C_Fairlie_241.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Schwede66,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Carnegie_Library,_Fairlie_241.JPG",yes
Gore,public,Gore,Southland,New Zealand,10 Jul 1907,"$9,750",14 Hokonui Drive,,,,wikipedia-list,File:The_Old_Public_Library_(Gore).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/The_Old_Public_Library_%28Gore%29.jpg/1920px-The_Old_Public_Library_%28Gore%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Mrs Puff,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:The_Old_Public_Library_(Gore).jpg,yes
Greymouth,public,Greymouth,West Coast,New Zealand,5 Oct 1904,"$10,967",,,,,wikipedia-list,"File:Town_Hall_and_Municipal_Library,_Greymouth.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Town_Hall_and_Municipal_Library%2C_Greymouth.jpg/1920px-Town_Hall_and_Municipal_Library%2C_Greymouth.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,National Library NZ on The Commons,No restrictions,https://www.flickr.com/commons/usage/,"https://commons.wikimedia.org/wiki/File:Town_Hall_and_Municipal_Library,_Greymouth.jpg",yes
Hamilton,public,Hamilton,Waikato,New Zealand,23 Apr 1906,"$9,720",354 Victoria Street,,,,wikipedia-list,"File:Hamilton_Carnegie_Library,_1908.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Hamilton_Carnegie_Library%2C_1908.jpg/1920px-Hamilton_Carnegie_Library%2C_1908.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,not stated,Public domain,,"https://commons.wikimedia.org/wiki/File:Hamilton_Carnegie_Library,_1908.jpg",yes
Hastings,public,Hastings,Hawke's Bay,New Zealand,29 May 1905,"$12,175",,,,,,,,,,,,no
Hokitika,public,Hokitika,West Coast,New Zealand,20 Jun 1905,"$12,175",17 Hamilton Street,,,,wikipedia-list,File:Hokitika_Museum_248.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Hokitika_Museum_248.JPG/1920px-Hokitika_Museum_248.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Schwede66,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Hokitika_Museum_248.JPG,yes
Levin,public,Levin,Manawatū-Whanganui,New Zealand,28 Sep 1909,"$7,290",,,,,wikipedia-list,"File:Public_library,_Levin_1920.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Public_library%2C_Levin_1920.jpg/1920px-Public_library%2C_Levin_1920.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Photographer unidentified,Public domain,,"https://commons.wikimedia.org/wiki/File:Public_library,_Levin_1920.jpg",yes
Marton,public,Marton,Manawatū-Whanganui,New Zealand,23 Jul 1914,"$6,075",,,,,,,,,,,,no
New Plymouth,public,New Plymouth,Taranaki,New Zealand,13 Feb 1906,"$12,150",,,,,,,,,,,,no
Onehunga,public,Onehunga,Auckland,New Zealand,15 Jul 1909,"$9,720",55 Princes Street,,,,wikipedia-list,File:NZ_AK_Carnegie_Free_Library_(1).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/NZ_AK_Carnegie_Free_Library_%281%29.jpg/1920px-NZ_AK_Carnegie_Free_Library_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Itineris55,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:NZ_AK_Carnegie_Free_Library_(1).jpg,yes
Thames,public,Thames,Waikato,New Zealand,7 Jan 1904,"$9,760",,,,,wikipedia-list,File:Carnegie_Free_Library_Building_In_Thames.jpg,https://upload.wikimedia.org/wikipedia/commons/3/35/Carnegie_Free_Library_Building_In_Thames.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Ingolfson,Public domain,,https://commons.wikimedia.org/wiki/File:Carnegie_Free_Library_Building_In_Thames.jpg,yes
Timaru,public,Timaru,Canterbury,New Zealand,14 Jun 1906,"$21,010",2 King George Place,,,,wikipedia-list,"File:Municipal_Offices_&_Public_Library,_Timaru.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Municipal_Offices_%26_Public_Library%2C_Timaru.jpg/1920px-Municipal_Offices_%26_Public_Library%2C_Timaru.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Karora,Public domain,,"https://commons.wikimedia.org/wiki/File:Municipal_Offices_%26_Public_Library,_Timaru.jpg",yes
Westport,public,Westport,West Coast,New Zealand,10 Sep 1903,"$9,720",Lyndhurst Street,,,,wikipedia-list,File:Westport_NZ_Public_Library.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Westport_NZ_Public_Library.JPG/1920px-Westport_NZ_Public_Library.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Mattinbgn (talk · contribs),CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:Westport_NZ_Public_Library.JPG,yes
Akron,public,Akron,Ohio,United States,"Dec 24, 1901","$82,000",69 E. Market St.,,,https://en.wikipedia.org/wiki/Akron_Public_Library,wikipedia-list,"File:Former_Carnegie_Library,_Akron,_UH_USA.jpg",https://upload.wikimedia.org/wikipedia/commons/a/a8/Former_Carnegie_Library%2C_Akron%2C_UH_USA.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Carptrash,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"https://commons.wikimedia.org/wiki/File:Former_Carnegie_Library,_Akron,_UH_USA.jpg",yes
Alliance,public,Alliance,Ohio,United States,"Jan 13, 1903","$25,000",NE corner of S. Arch Ave. & High St.,,,,wikipedia-list,"File:Alliance,_Ohio.jpg",https://upload.wikimedia.org/wikipedia/commons/9/91/Alliance%2C_Ohio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Unknown authorUnknown author,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Alliance,_Ohio.jpg",yes
Amherst,public,Amherst,Ohio,United States,"Mar 8, 1904","$10,000",221 Spring St.,,,,wikipedia-list,File:Carnegie_Library_P5080677.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Carnegie_Library_P5080677.jpg/1920px-Carnegie_Library_P5080677.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Chris Light,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Carnegie_Library_P5080677.jpg,yes
Ashtabula,public,Ashtabula,Ohio,United States,"Mar 6, 1901","$15,000",335 W. 44th St.,,,,wikipedia-list,File:Carnegie_Library_(13903811627).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Carnegie_Library_%2813903811627%29.jpg/1920px-Carnegie_Library_%2813903811627%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Miami University Libraries - Digital Collections,No restrictions,https://www.flickr.com/commons/usage/,https://commons.wikimedia.org/wiki/File:Carnegie_Library_(13903811627).jpg,yes
Athens,public,Athens,Ohio,United States,"Dec 16, 1903","$30,000",32 Park Place,,,,wikipedia-list,File:OU_Scripps_Hall.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/OU_Scripps_Hall.JPG/1920px-OU_Scripps_Hall.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Ed!(talk)(Hall of Fame),CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:OU_Scripps_Hall.JPG,yes
Bellefontaine,public,Bellefontaine,Ohio,United States,"Jan 6, 1903","$14,000",140 N. Main St.,,,,wikipedia-list,File:Carnegie_library_in_Bellefontaine.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Carnegie_library_in_Bellefontaine.jpg/1920px-Carnegie_library_in_Bellefontaine.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Nyttend,Public domain,,https://commons.wikimedia.org/wiki/File:Carnegie_library_in_Bellefontaine.jpg,yes
Bellevue,public,Bellevue,Ohio,United States,"Jan 13, 1903","$13,600",224 E. Main St.,,,,wikipedia-list,File:Bellevue_Carnegie_Library_PC050661.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Bellevue_Carnegie_Library_PC050661.jpg/1920px-Bellevue_Carnegie_Library_PC050661.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Chris Light,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Bellevue_Carnegie_Library_PC050661.jpg,yes
Bristolville,public,Bristolville,Ohio,United States,"Apr 25, 1911","$6,000",1855 Greenville Rd.,,,,wikipedia-list,"File:Bristol,_OH_Library.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Bristol%2C_OH_Library.jpg/1920px-Bristol%2C_OH_Library.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"Bristol Public Library, Bristolville, OH",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Bristol,_OH_Library.jpg",yes
Bryan,public,Bryan,Ohio,United States,"Feb 12, 1903","$10,000",107 E. High St.,,,,wikipedia-list,File:PB020121_Bryan_Carnegie_Library.JPG,https://upload.wikimedia.org/wikipedia/commons/a/a7/PB020121_Bryan_Carnegie_Library.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Chris Light (talk),CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:PB020121_Bryan_Carnegie_Library.JPG,yes
Bucyrus,public,Bucyrus,Ohio,United States,"Jun 1, 1903","$15,000",200 E. Mansfield St.,,,,wikipedia-list,File:Carnegie_library_in_Bucyrus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Carnegie_library_in_Bucyrus.jpg/1920px-Carnegie_library_in_Bucyrus.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Nyttend,Public domain,,https://commons.wikimedia.org/wiki/File:Carnegie_library_in_Bucyrus.jpg,yes
Cambridge,public,Cambridge,Ohio,United States,"Jan 22, 1902","$21,000",800 Steubenville Ave.,,,,wikipedia-list,File:Guernsey_County_District_Public_Library.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Guernsey_County_District_Public_Library.jpg/1920px-Guernsey_County_District_Public_Library.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Nyttend,Public domain,,https://commons.wikimedia.org/wiki/File:Guernsey_County_District_Public_Library.jpg,yes
Canton,public,Canton,Ohio,United States,"Apr 15, 1901","$60,000",236 3rd St. SW,,,https://en.wikipedia.org/wiki/Canton_Public_Library,wikipedia-list,"File:Canton_Public_Library,_236_3rd_St.,_SW,_Canton,_OH_7-23-2010_12-39-00_PM.JPG",https://upload.wikimedia.org/wikipedia/commons/e/e3/Canton_Public_Library%2C_236_3rd_St.%2C_SW%2C_Canton%2C_OH_7-23-2010_12-39-00_PM.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Sanfranman59,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"https://commons.wikimedia.org/wiki/File:Canton_Public_Library,_236_3rd_St.,_SW,_Canton,_OH_7-23-2010_12-39-00_PM.JPG",yes
Carey,public,Carey,Ohio,United States,"Dec 30, 1904","$8,000",236 E. Findlay St.,,,,wikipedia-list,"File:Carey,_Ohio.jpg",https://upload.wikimedia.org/wikipedia/commons/c/c5/Carey%2C_Ohio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Mackinacbreezer,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Carey,_Ohio.jpg",yes
Celina,public,Celina,Ohio,United States,"Dec 30, 1904","$12,000",303 N. Main St.,,,,wikipedia-list,"File:Celina,_OH_Public_Library.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Celina%2C_OH_Public_Library.jpg/1920px-Celina%2C_OH_Public_Library.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"Celina, OH Public Library",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Celina,_OH_Public_Library.jpg",yes
Chillicothe,public,Chillicothe,Ohio,United States,"Apr 13, 1903","$30,000",140 S. Paint St.,,,,wikipedia-list,"File:Chillicothe,_OH_Library.jpg",https://upload.wikimedia.org/wikipedia/commons/7/73/Chillicothe%2C_OH_Library.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,"Chillicothe, OH Library",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Chillicothe,_OH_Library.jpg",yes
Cincinnati Avondale,public,Cincinnati,Ohio,United States,"Apr 9, 1902","$286,000",3566 Reading Rd.,,,,wikipedia-list,File:Carnegie_lib_700_2.jpg,https://upload.wikimedia.org/wikipedia/commons/0/07/Carnegie_lib_700_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Rdikeman at English Wikipedia,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/wiki/File:Carnegie_lib_700_2.jpg,yes
