name,kind,city,region,country,date_granted,grant,date_opened,address,lat,lon,image_file,wikipedia_url,notes,section,source_page
Chula Vista,public,Chula Vista,California,United States,"Mar 31, 1916","$10,000",,,,,,,Vacated in 1955. Destroyed in 1960.,Public libraries,List of Carnegie libraries in California
Clovis,public,Clovis,California,United States,"Mar 11, 1914","$7,000",,"325 Pollasky Ave, Clovis, CA 93612",36.82583,-119.70167,,,Now home to the Clovis Chamber of Commerce.,Public libraries,List of Carnegie libraries in California
Coalinga,public,Coalinga,California,United States,"Jan 27, 1912","$20,000",,,,,,,"Demolished in 1955. Designed by architects Swartz, Hotchkin and Swartz, in a Mediterranean Revival style, as one of the three high school district California Carnegies. The new Coalinga Library is on the site.",Public libraries,List of Carnegie libraries in California
Colton,public,Colton,California,United States,"Apr 10, 1906","$10,000",,"380 N La Cadena Dr, Colton, CA 92324",34.06861,-117.32361,Colton_Area_Museum.jpg,https://en.wikipedia.org/wiki/Colton_Carnegie_Library,"Now the Colton Museum. Designed by architect Franklin P. Burnham, a temple style Classical Revival building, with pediment and columns, two fireplaces and skylight above a central rotunda. It served as both library and community center. In 1982 it was carefully restored to house the museum.",Public libraries,List of Carnegie libraries in California
Colusa,public,Colusa,California,United States,"Jan 19, 1905","$10,000",,"260 6th St, Colusa, CA 95932",39.21361,-122.00972,"Colusa,_California_police_department_from_SE_2.JPG",https://en.wikipedia.org/wiki/Colusa_Carnegie_Library,Now houses the Colusa Police Department,Public libraries,List of Carnegie libraries in California
Concord,public,Concord,California,United States,"Jun 1, 1915","$2,500",,,,,,,Demolished in 1959.,Public libraries,List of Carnegie libraries in California
Corning,public,Corning,California,United States,"Aug 11, 1913","$10,000",,"618 4th St, Corning, CA 96021",39.92889,-122.18111,,,,Public libraries,List of Carnegie libraries in California
Corona,public,Corona,California,United States,"Mar 25, 1905","$11,500",,,,,,"https://en.wikipedia.org/wiki/Andrew_Carnegie_Library_(Corona,_California)","Demolished in 1978, the year after being listed on the NRHP",Public libraries,List of Carnegie libraries in California
Covina,public,Covina,California,United States,"Apr 11, 1905","$9,000",,,,,,,Demolished in 1962.,Public libraries,List of Carnegie libraries in California
Dinuba,public,Dinuba,California,United States,"Mar 16, 1915","$8,000",,,,,,,Demolished in 1975.,Public libraries,List of Carnegie libraries in California
Dixon,public,Dixon,California,United States,"Nov 21, 1911","$10,000",,"135 E B St, Dixon, CA 95620",38.44667,-121.82194,"Dixon_Carnegie_Library,_135_E._B_St.,_Dixon,_CA_5-4-2013_6-50-34_PM.JPG",,"Now the Dixon Unified School District Library. Dixon is one of only three California communities to obtain a Carnegie library as a high school district rather than city or county. Designed by architects Parker and Kenyon, in the Mission Revival-Classical Revival style, and designated as historically significant by the Dixon city council in 1988.",Public libraries,List of Carnegie libraries in California
